School,Conference,Coach,SchoolPay,Bonus,BonusPaid,Buyout,GSR,FGR,Capacity,Enrollment,Revenues,W,L,Pct,Conf_W,Conf_L,Conf_Pct,AP_High,AP_Rank,BonusPctPaid,Ranked,Ranking,WinningSeason,SubstantialBonus,PowerFive,ACC,American,Big 12,Big Ten,Conference USA,FBS Independents,Mid-American,Mountain West,Pac-12,SEC,Sun Belt
Iowa,Big Ten,Kirk Ferentz,4700000,2875000,600000,22396250,0.87,0.65,70585,33000,100040046,8,5,0.62,4,5,0.44,25,0,0.208695652173913,1,0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Iowa State,Big 12,Matt Campbell,3500000,750000,650000,19291667,0.88,0.7,61000,33400,47732812,8,5,0.62,5,4,0.56,14,0,0.8666666666666667,1,0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0
Kansas,Big 12,David Beaty,1701109,2000000,0,3000000,0.83,0.57,50071,27700,64704137,1,11,0.08,0,9,0.0,0,0,0.0,0,0,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0
Kansas State,Big 12,Bill Snyder,3500000,580000,50000,3000000,0.93,0.72,50000,21700,68787446,8,5,0.62,5,4,0.56,18,0,0.0862068965517241,1,0,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0
Kent State,Mid-American,Sean Lewis,440000,406000,42500,1150000,0.81,0.59,25319,39300,10308661,2,10,0.17,1,7,0.13,0,0,0.104679802955665,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Kentucky,SEC,Mark Stoops,4000000,3100000,300000,15625000,0.86,0.56,61000,29200,66574141,7,6,0.54,4,4,0.5,0,0,0.0967741935483871,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,1,0
Louisiana Tech,Conference USA,Skip Holtz,700000,395000,0,2508333,0.63,0.48,30600,12400,10385387,7,6,0.54,4,4,0.5,0,0,0.0,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Louisiana-Lafayette,Sun Belt,Billy Napier,850000,435000,25000,2671875,0.74,0.55,31000,20550,11804496,5,7,0.42,4,4,0.5,0,0,0.057471264367816,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Louisiana-Monroe,Sun Belt,Matt Viator,390000,50000,0,175000,0.83,0.65,30427,20550,6682465,4,8,0.33,4,4,0.5,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Louisville,ACC,Bobby Petrino,3980434,1472917,869917,14056250,0.93,0.82,55000,22600,58011677,8,5,0.62,4,4,0.5,14,0,0.5906082963262695,1,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0
