School,Conference,State,GSR,FGR
 Tennessee at Chattanooga,Southern Conference,TN,0.8,0.6
" Tennessee, Knoxville",Southeastern Conference,TN,0.84,0.52
 Tennessee at Martin,Ohio Valley Conference,TN,0.67,0.55
"Texas A&M , College Station",Southeastern Conference,TX,0.74,0.54
Texas Christian ,Big 12 Conference,TX,0.7,0.57
Texas Southern ,Southwestern Athletic Conf.,TX,0.82,0.56
Texas Tech ,Big 12 Conference,TX,0.76,0.52
 Texas at Austin,Big 12 Conference,TX,0.79,0.62
 Texas at El Paso,Conference USA,TX,0.85,0.63
 Texas at San Antonio,Conference USA,TX,0.83,0.62
 Toledo,Mid-American Conference,OH,0.87,0.67
Towson ,Colonial Athletic Association,MD,0.88,0.68
Troy ,Sun Belt Conference,AL,0.8,0.65
Tulane ,American Athletic Conference,LA,0.87,0.76
The  Tulsa,American Athletic Conference,OK,0.69,0.64
Air Force,Mountain West Conference,CO,0.89,0
Army,Independent,NY,0.71,0
Navy,American Athletic Conference,MD,0.89,0
Utah State ,Mountain West Conference,UT,0.89,0.68
 Utah,Pac-12 Conference,UT,0.9,0.69
Valparaiso ,Pioneer Football League,IN,0.83,0
Vanderbilt ,Southeastern Conference,TN,0.95,0.77
Villanova ,Colonial Athletic Association,PA,0.95,0.95
Virginia Military Institute,Southern Conference,VA,0.87,0.7
Virginia Tech,Atlantic Coast Conference,VA,0.8,0.68
 Virginia,Atlantic Coast Conference,VA,0.86,0.71
Wagner College,Northeast Conference,NY,0.85,0.77
Wake Forest ,Atlantic Coast Conference,NC,0.89,0.75
Washington State ,Pac-12 Conference,WA,0.85,0.56
 Washington,Pac-12 Conference,WA,0.85,0.56
Weber State ,Big Sky Conference,UT,0.56,0.33
West Virginia ,Big 12 Conference,WV,0.74,0.6
Western Carolina ,Southern Conference,NC,0.87,0.74
Western Illinois ,Missouri Valley Football Conference,IL,0.8,0.63
Western Kentucky ,Conference USA,KY,0.74,0.57
